name,nature,menu_parent,value,price,image,description,meta_description,,view,active,video,how2fix,Tools
"Dell  Vostro 1550,2520,3550, 3560 Laptop Screen",Parts,Dell,"Dell  Vostro 1550,2520,3550, 3560 Laptop Screen--LCD",4999,,,"Dell  Vostro 1550,2520,3550, 3560 Laptop Screen",,,,,,
,Parts,Dell,"Dell  Vostro 1550,2520,3550, 3560 Laptop Screen--LED",5999,,,,,,,,,
"Dell Vostro 2420,1420 Laptop Screen",Parts,Dell,"Dell Vostro 2420,1420 Laptop Screen--LCD",4599,,,"Dell Vostro 2420,1420 Laptop Screen",,,,,,
,Parts,Dell,"Dell Vostro 2420,1420 Laptop Screen--LED",5499,,,,,,,,,
"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Screen",Parts,Dell,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Screen--LCD",4999,,,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Screen",,,,,,
,Parts,Dell,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Screen--LED",5999,,,,,,,,,
"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Screen",Parts,Dell,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Screen--LCD",4599,,,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Screen",,,,,,
,,Dell,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Screen-LED",5499,,,,,,,,,
Dell Inspiron 1525 Hinges,Parts,Dell,Dell Inspiron 1525 Hinges,799,,,Dell Inspiron 1525 Hinges,,,,,,
Dell Inspiron 1535 Hinges,Parts,Dell,Dell Inspiron 1535 Hinges,1099,,,Dell Inspiron 1535 Hinges,,,,,,
Dell Inspiron 1545 Hinges,Parts,Dell,Dell Inspiron 1545 Hinges,1099,,,Dell Inspiron 1545 Hinges,,,,,,
Dell Inspiron 15 R Hinges,Parts,Dell,Dell Inspiron 15 R Hinges,1399,,,Dell Inspiron 15 R Hinges,,,,,,
Dell Vostro 1550 Hinges,Parts,Dell,Dell Vostro 1550 Hinges,999,,,Dell Vostro 1550 Hinges,,,,,,
Dell Vostro3550 Hinges,Parts,Dell,Dell Vostro3550 Hinges,1599,,,Dell Vostro3550 Hinges,,,,,,
Dell Inspiron 14R Hinges,Parts,Dell,Dell Inspiron 14R Hinges,1400,,,Dell Inspiron 14R Hinges,,,,,,
Dell Inspiron 14Z Hinges,Parts,Dell,Dell Inspiron 14Z Hinges,1499,,,Dell Inspiron 14ZHinges,,,,,,
Dell Inspiron 15Z Hinges,Parts,Dell,Dell Inspiron 15Z Hinges,1799,,,Dell Inspiron 15Z Hinges,,,,,,
Lenovo Laptop Keyboard - IdeaPad G560 G570 G575 series,Tools,Lenovo,IdeaPad G560 G570 G575 series,1649,Laptops/Lenovo_keyboard.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Keyboard - IdeaPad G560 G570 G575 series. Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
Lenovo Laptop Keyboard B560 Series ,Tools,Lenovo,B560 Series ,1649,Laptops/Lenovo_keyboard.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Keyboard B560 Series  Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
Lenovo Laptop Keyboard 3000-C100/C200/C460/C461/C462/C466,Tools,Lenovo,3000-C100/C200/C460/C461/C462/C466,2349,Laptops/Lenovo_keyboard.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Keyboard 3000-C100/C200/C460/C461/C462/C466 Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
Lenovo Laptop Keyboard 3000-N100/N200/N220/N430/N440/N500 Series,Tools,Lenovo,3000-N100/N200/N220/N430/N440/N500 Series,1349,Laptops/Lenovo_keyboard.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Keyboard 3000-N100/N200/N220/N430/N440/N500 Series. Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
Lenovo Laptop Keyboard Thinkpad T400s T410 T410s T410i Series,Tools,Lenovo,Thinkpad T400s T410 T410s T410i Series,2349,Laptops/Lenovo_keyboard.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Keyboard Thinkpad T400s T410 T410s T410i Series. Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
Lenovo Laptop Keyboard Thinkpad SL300 SL400 SL400C SL500 SL500C,Tools,Lenovo,THINKPAD SL300 SL400 SL400C SL500 SL500C,2349,Laptops/Lenovo_keyboard.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Keyboard Thinkpad SL300 SL400 SL400C SL500 SL500C. Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
Lenovo Laptop Keyboard Thinkpad X200 X200S X201 X201S,Tools,Lenovo,Thinkpad X200 X200S X201 X201S,2099,Laptops/Lenovo_keyboard.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Keyboard Thinkpad X200 X200S X201 X201S. Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
Lenovo CPU Cooling fan Ideapad G460 G560 G460A SERIES,,,,,,,,,,,,,
,,,,,,,,,,,,,
Lenovo Hard Drive,tools,Lenovo,SATTA,3750,Laptops/lenovo_harddrive.jpg,Default Size: 500GB,,,,,,,
,,,SSD Disk,,,,,,,,,,
,,,Slotting,,,,,,,,,,
,,,Slim Slotting,,,,,,,,,,
Lenovo Ideapad Y510 Y520 Y530 15.4 LCD Hinges,tools,Lenovo,,1400,Laptops/Lenovo-Hinges.jpg,"Condition: 
 Original & Brand New",Lenovo Ideapad Y510 Y520 Y530 15.4 LCD Hinges,,,,,,
Lenovo G410 LCD Hinges,tools,Lenovo,,800,Laptops/Lenovo-Hinges.jpg,"Condition: 
 Original & Brand New",Lenovo G410 LCD Hinges,,,,,,
Lenovo 3000 N100 LCD Hinges,tools,Lenovo,,1400,Laptops/Lenovo-Hinges.jpg,"Condition: 
 Original & Brand New",Lenovo 3000 N100 LCD Hinges,,,,,,
Lenovo E41 Laptop LCD Hinges,tools,Lenovo,,1000,Laptops/Lenovo-Hinges.jpg,"Condition: 
 Original & Brand New",Lenovo E41 Laptop LCD Hinges,,,,,,
Lenovo IdeaPad Y430 Laptop LCD Hinge,tools,Lenovo,,1400,Laptops/Lenovo-Hinges.jpg,"Condition: 
 Original & Brand New",Lenovo IdeaPad Y430 Laptop LCD Hinge,,,,,,
Lenovo G560 G560 G565 G 565 Z560 LCD Hinges ,tools,Lenovo,,1100,Laptops/Lenovo-Hinges.jpg,"Condition: 
 Original & Brand New",Lenovo G560 G560 G565 G 565 Z560 LCD Hinges ,,,,,,
Lenovo G570 G575 LCD Hinges ,tools,Lenovo,,1100,Laptops/Lenovo-Hinges.jpg,"Condition: 
 Original & Brand New",Lenovo G570 G575 LCD Hinges ,,,,,,
Lenovo 3000-G400 G410 C466L Wireless LAN Card,tools,Lenovo,,1250,Laptops/lenovo_wirless_lancard.jpg,"Condition: 
 Original & Brand New",,,,,,,
Lenovo  Laptop Bottom Casing 3000 Y410,tools,Lenovo,,1200,Laptops/lenovo_back_casing.jpg,"Condition: 
 Original & Brand New","Lenovo  Laptop Bottom Casing 3000 Y410. MAINBOARD BOTTOM CASE in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
Lenovo  Laptop Bottom Casing 3000 Y430,tools,Lenovo,,1900,Laptops/lenovo_back_casing.jpg,"Condition: 
 Original & Brand New","Lenovo  Laptop Bottom Casing 3000 Y430. MAINBOARD BOTTOM CASE in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
Lenovo  Laptop Bottom Casing 3000 Y500,tools,Lenovo,,1900,Laptops/lenovo_back_casing.jpg,"Condition: 
 Original & Brand New","Lenovo  Laptop Bottom Casing 3000 Y500. MAINBOARD BOTTOM CASE in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
Lenovo  Laptop Bottom Casing 3000 Y510,tools,Lenovo,,2560,Laptops/lenovo_back_casing.jpg,"Condition: 
 Original & Brand New","Lenovo  Laptop Bottom Casing 3000 Y510. MAINBOARD BOTTOM CASE in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
Lenovo Laptop Bottom Casing B570,tools,Lenovo,,2500,Laptops/lenovo_back_casing.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Bottom Casing B570. MAINBOARD BOTTOM CASE in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
Lenovo Laptop Bottom Casing G570 G580,tools,Lenovo,,2500,Laptops/lenovo_back_casing.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Bottom Casing G570 G580. MAINBOARD BOTTOM CASE in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
Lenovo Laptop Bottom Casing IdeaPad Z510,tools,Lenovo,,2000,Laptops/lenovo_back_casing.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Bottom Casing IdeaPad Z510. MAINBOARD BOTTOM CASE in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
Lenovo Laptop Bottom Casing IdeaPad S10Ê,tools,Lenovo,,1900,Laptops/lenovo_back_casing.jpg,"Condition: 
 Original & Brand New","Lenovo Laptop Bottom Casing IdeaPad S10Ê. MAINBOARD BOTTOM CASE in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
Lenovo Laptop Palm Reset B460,tools,Lenovo,,1500,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset B460. PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset B560,tools,Lenovo,,1900,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset B560. PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset G450,tools,Lenovo,,1600,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset G450. PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset G470,tools,Lenovo,,1900,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset G470. PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset G550,tools,Lenovo,,1900,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset G550. PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset G560,tools,Lenovo,,1900,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset G560. PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset V560,tools,Lenovo,,2200,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset V560.PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset Y410,tools,Lenovo,,1400,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset Y410. PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset Y430,tools,Lenovo,,1700,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset Y430. PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo Laptop Palm Reset Z570,tools,Lenovo,,2300,Laptops/lenovo_palmrest.JPG,"Condition: 
 Original & Brand New","Lenovo Laptop Palm Reset Z570 PALMREST ( INCLUDES TOUCHPAD) for Laptops Computer Peripherals , Laptop Accessories , Laptop Drives.",,,,,,
Lenovo LCD Cable,tools,Lenovo,Lenovo IdeaPad Y430Ê,950,Laptops/Lenovo-LCD-Cable.jpg,"Condition: 
 Original & Brand New","Laptop LCD Cable for Lenovo in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories",,,,,,
,,,Lenovo IdeaPad Y410ÊY410A,1500,,"Condition: 
 Original & Brand New",,,,,,,
,,,Lenovo IdeaPad Y510 Y520 Y530 L510 Series,1100,,"Condition: 
 Original & Brand New",,,,,,,
,,,Lenovo Thinkpad G530 Laptop ,1900,,"Condition: 
 Original & Brand New",,,,,,,
,,,Lenovo Thinkpad G570 Laptop ,1300,,"Condition: 
 Original & Brand New",,,,,,,
,,,Lenovo G585 Laptop ,1500,,"Condition: 
 Original & Brand New",,,,,,,
,,,Lenovo G400 G410  Laptop ,1200,,"Condition: 
 Original & Brand New",,,,,,,
,,,LENOVO 3000 C461 C461M C461L,1700,,"Condition: 
 Original & Brand New",,,,,,,
Lenovo Screen,tools,Lenovo,"10'0"" LED Regular",2700,Laptops/lenovo_screen.jpg,"Condition: 
 Original & Brand New"," LAPTOP LED SCREEN FOR LENOVO NEW in Laptops Computer Peripherals , Laptop Accessories , Other Laptop Accessories.",,,,,,
,,,"10'0"" Paper",2900,,"Condition: 
 Original & Brand New",,,,,,,
,,,"10'1"" LCD Glossy",3750,,"Condition: 
 Original & Brand New",,,,,,,
,,,"14'0"" LED Regular",3500,,"Condition: 
 Original & Brand New",,,,,,,
,,,"14'0"" LED HD",5500,,"Condition: 
 Original & Brand New",,,,,,,
,,,"14'0"" PAPER HD",5750,,"Condition: 
 Original & Brand New",,,,,,,
,,,"14'1"" LCD Glossy",5400,,"Condition: 
 Original & Brand New",,,,,,,
,,,"14'1"" LCD Matte",5600,,"Condition: 
 Original & Brand New",,,,,,,
,,,"15'6"" LED Regular",3750,,"Condition: 
 Original & Brand New",,,,,,,
,,,"15'6"" LED HD",5500,,"Condition: 
 Original & Brand New",,,,,,,
,,,"15'6"" PAPER HD",4250,,"Condition: 
 Original & Brand New",,,,,,,
Lenovo laptop battery  thinkpad L410 L412 L510 L512 SL410 SL510 series,task,Lenovo,Compatable,1600,Laptops/lenovo_battery.jpg,"Condition: 
 Original & Brand New",Lenovo laptop battery  thinkpad L410 L412 L510 L512 SL410 SL510 series,,,,,,
,,,Original,4000,,"Condition: 
 Original & Brand New",,,,,,,
Lenovo  laptop battery thinkpad T410 T410i T510 T510i W410 series,task,Lenovo,Compatable,1600,Laptops/lenovo_battery.jpg,"Condition: 
 Original & Brand New",Lenovo  laptop battery thinkpad T410 T410i T510 T510i W410 series,,,,,,
,,,Original,4500,,"Condition: 
 Original & Brand New",,,,,,,
"Lenovo  laptop battery 3000 N100, C200 series ",task,Lenovo,Compatable,1600,Laptops/lenovo_battery.jpg,"Condition: 
 Original & Brand New","Lenovo  laptop battery 3000 N100, C200 series ",,,,,,
,,,Original,4000,,"Condition: 
 Original & Brand New",,,,,,,
LENOVO  laptop battery IDEAPAD G430/ G450/ G530/ G550 ,task,Lenovo,,3999,Laptops/lenovo_battery.jpg,"Condition: 
 Original & Brand New",LENOVO  laptop battery IDEAPAD G430/ G450/ G530/ G550 ,,,,,,
Lenovo - Battery Adapter Replacement,task,Lenovo,65V Original,1200,Laptops/lenovo_battery_adaptor.jpg,"Condition: 
 Original & Brand New",Lenovo - Battery Adapter Replacement,,,,,,
,,,90V Original,1400,,"Condition: 
 Original & Brand New",,,,,,,
