name,nature,menu_parent,variant_matric,value,location,price,image,description,meta_description,meta_keyword _ __,view,active,video,how2fix,
"Door Fitting w/o Loack, latch etc.",task,Door,,,Hyderabad,0,Carpentry/wooden-door.jpg,"Replacing an existing door with a new one is just about as easy as it soundsÜyou use the old door as a template to cut the new door to size and to outfit it with hinges and a lockset. Then you replace it in the existing jamb. Switching out the door in an old jamb is a great solution when you have a door that's badly warped or damaged, or when you want to upgrade all the doors in your home to improve quality or change style.",Fitting or replacing a house door.,,,1,4GnSucbFuWw,"Before you begin, measure the width and height of the old door (the thickness of all but the oldest interior passage doors is standardized at 1 _ inches). Bring these dimensions with you when you buy the new door ""blank""Üunlike a ""prehung"" door, it won't be surrounded by a jamb or drilled out for the lockset. Doors come in just a few heightsÜ80 inches is the standardÜbut a wide range of standard widths.<br><br>1: Remove the old door<br>Stand on the hinge side of the door and remove the pins from the hinges. Always start at the bottom hinge and work up so the door doesn't topple over onto you. If a pin won't come out by hand, gently tap it out with a hammer and screwdriver. Have a helper support the door as you begin to remove the top pin.<br><br>2: Mark the new door for trimming<br>Remove the lockset (doorknob) and hinges from the old door. If reusing the lockset, note how it goes together. Lay the new door across a pair of sawhorses and set the old door on top, aligning the top end and the lockset edge of the old door perfectly flush with the new door. Trace around the old door with a pencil to indicate where the new door must be trimmed down to size.<br><br>3: Cut the door down to size<br>Score the pencil marks on the new door with a sharp utility knife and straightedge to help prevent the wood from splintering when you cut it with a circular saw.Cut the door to the correct height using a straightedge guide and a circular saw. If you need to remove more than 1 inch, take half off the bottom of the door and half off the top. Trim the door to width in the same manner.<br><br>4: Lay out the hinge mortises<br>Lay the old door back on top of the new door, aligning them so that all four edges are flush. Line up a combination square with the old door's hinge mortises and transfer their locations to the new door. <br><br>5: Chisel out for the hinges<br>Lay a protective pad on the floor and stand the new door on edge, with the hinge layouts facing up. Next, chisel out for the hinges (these are called hinge mortises). Hold the chisel vertically and tap it with a hammer to outline the mortise. Then make a series of closely spaced cuts as deep as the thickness of the hinge. Next, hold the chisel at a low angle with its beveled face flat against the wood to prevent it from digging in too deeply when completing the mortise. Lightly tap the chisel with the hammer to chip away the waste wood a little bit at a time.<br><br>6: Screw on the hinge<br>Check the depth of the hinge mortises by test-fitting a hinge leaf; it should be flush with the door edge. If necessary, use the chisel to pare away a bit more wood. Set the hinge leaf into the mortise. Use a drill and centering bit to bore pilot holes through the screw holes. Screw the hinge to the door. Test-fit the door in the opening. Check that it closes without binding and that there's proper clearance (1/8 inch) between the door and frame. If not, plane the edges.<br><br>7: Drill for and assemble the lockset<br>Mark where the strike-plate hole meets the door edge. Position the template supplied with the lockset on this mark and mark for the doorknob and latch. If reusing the old lockset, take measurements from the old door. Drill the doorknob face bore with a 2 1/8-inch hole saw. Cut the latch's edge bore with a 7/8-inch spade bit. Paint or stain the door, as desired, and let dry. Insert the latch assembly into the edge bore and trace around it with a utility knife. Chisel out a shallow mortise inside this outline.  Screw the latch to the door, then install the doorknobs. <br><br>8: Hang the new door<br>Hold the door in the opening and interlace the hinge knuckles. Once all the hinges are aligned, have a helper insert the hinge pins. Test the door, making sure it swings smoothly and that the latch engages the strike plate on the doorjamb. If necessary, reposition the strike plate.<br><br>","Level, Hammer,Tape Measure,Caulking Gun,Phillips Screwdriver,Wood Shims,16d Finishing Nails,15 #8 Screws: 3-in Long, Foam / Fiberglass Insulation,Caulk,Drill and Bits, Reciprocating Saw, Pry Bar"
Door Making,,Door,,,Hyderabad,0,Carpentry/wooden-door.jpg,A door is reflective of the eccentricity of the house. Doors have to be build corresponding to the taste of a customers.  ,Making a new door,,,1,WmwKtajnDuA,,
Door Fitting Repair,task,Door,,,Hyderabad,0,Carpentry/door-fitting-repair.jpg,It would occur due to many reason so as many solutions. Efforts can be estimated on site. ,Doort fitting repair,,,1,,,
Door Latch Installation,task,Door,,,Hyderabad,650,Carpentry/Door-Latch.jpg,"Door latches come in various configurations; but the most common are a drive in tubular latch, or a latch with attached mortise plate. A latch with an attached mortise plate is generally more secure as it holds the latch securely with screws whereas a drive in latch is relying on the snug fit of the latch in the cross bore of the door. . The trick lie in marking the locations to latch installation. If there are some mistakes in marking, It would effect the fit. ",Installing Door latch.,,,1,aPeemDVAg1w,"If the movement has been slight, there's a very simple fix for the problem. Instead of moving the strike plate, simply slightly enlarge the latch opening in the strike plate as shown above. A rotary tool does this quickly and easily. Use a carbide-cutting bit specifically designed for metal cutting.<br><br>Judge the part of the strike plate that needs grinding by testing when the latch catches. If you have to push down on the doorknob, then the top of the strike plate hole needs grinding. If the door has to be pushed in, then grind the outside edge of the strike plate hole.<br><br>You don't want the latch slopping around inside a huge opening, so don't grind away half the strike plate. Remove small amounts of metal and then test the door. Repeat until the door latch effortlessly catches the strike plate.<br><br>Source: HandyMan","hammer
sharpened chisel
pencil
screwdriver"
Door Lock Installation,task,Door,,,Hyderabad,330,Carpentry/door-lock.jpg,"Change is goodÜespecially when it comes to your safety! Sometimes that includes changing the locks on your doors. It's a fairly simple task, and only takes a few minutesÜbut it will provide you with great peace of mind.  The tricky part lies in marking and proper carpentry. ",Installing Door lock.,,,1,dtEhT5OD9LA,1. Choose a position on the door for the lock.<br>2. Affix the template to the door.<br>3. Mark the center of the holes for both the lock cylinder and latchbolt.<br>4. Bore the hole for the lock cylinder.<br>5. Drill the latchbolt hole into the edge of the door<br> 6. Cut a latchbolt mortise in the edge of the door.<br>7. Position the latchbolt faceplate flush with the edge of the door.<br>8. Install the two mounting screws into the faceplate.<br>9. Apply a coating of lubricant to the lock's moving parts.<br>10. Insert the latchbolt and push the keyed portion of the lock through the hole in the latchbolt.<br>11. Fit the inside cylinder so that the holes for the screws line up with the exterior side.<br> 12. Secure the two sides of the lock together.<br>13. Shut the door and mark the doorjamb where the latchbolt touches.<br>14. Trace and cut a mortise on the doorjamb for the strike plate.<br>15. Bore a latchbolt hole in the center of the mortise.<br>16. Install the strike plate.<br>17. Close the door and test the lock.,"drill
drill bits
driver bits
hole saw
wood chisel
spade bits"
Door knob replacement,task,Door,,,Hyderabad,0,Carpentry/Door-Knob.jpg,"Whether they're too stiff or too loose or just too worn and outdated, interior doorknobs are something you need to replace.",Installing Door knob.,,,1,FjAn21prEJw,"1. Obtain a replacement doorknob.<br>2. Remove the two screws on the face plate.<br>3. Remove the two screws on the knob plate.<br>4. Pull the handles off both sides.<br>5. Push the faceplate and pawl out through the opening<br>6. Loosen the two screws on the strike plate and remove the strike plate.<br>7. Some doorknobs come with a choice of face plates.<br>8. Size up the new strike plate and pawl mechanisms with the holes in your door and door jamb.<br>9. Use a hammer and chisel to adjust the openings in the door and door jamb, if necessary.<br>10. Push the new pawl mechanism and face plate into the door.<br>11. Screw down the pawl mechanism, making sure it is as level as possible.<br>12. Insert the handles into the door so that the square peg fits through the square opening and the screw holes align with the threaded cylinders on the other side.<br>13. Insert and tighten the screws that hold the handle.<br>14. Install the strike plate.<br>15. Check that everything fits and closes properly, and make any necessary adjustments.<br><br> Source: WikiHow","hammer
screwdriver"
Door Stopper Installation,task,Door,,,Hyderabad,65,Carpentry/door-stopper.jpg,A missing doorstop means that sooner or later the wall will get dented by the door handle. Either of the two most common types of doorstop can be installed in minutesÜwhich is a lot faster than a wall repair. Type of door stops:  1. hinge-mounted doorstop 2. fixed-post doorstop,Install a door stop. Tools to install door stop for best prices.,,,1,KoymCa7ZpBg,1. Decide what type of doorstop you want to install. <br>2. Pry the top hinge pin out. <br>3. Fit the hinge pin through the ring on the doorstop.<br>4. Adjust the doorstop to allow the desired opening distance. <br><br>Install a Fixed Post Doorstop:<br>1. Open your door until it is parallel with the wall.<br>2. Drill a hole into the baseboard to mount the doorstop. <br>3. Screw the doorstop into the hole. <br>Source: WikiHow,"Hammer
Cordless drill
4-in-1 screwdriver
Drill bit set"
Door Mosquito net installation,task,Door,,,Hyderabad,85,Carpentry/Door-Mosquito-net.jpg,Mosquito Netting Install,Mosquito Netting Install,,,1,,,
Window Stopper Installation,task,Window,,,Hyderabad,105,Carpentry/window-stopper.jpg,Window stoppers are different kinds. Procudure varies for different stoppers. ,Install Window Stopper ,,,1,,,
Window Pane Replacement,task,Window,,,Hyderabad,0,Carpentry/windows-pane.jpg,replace a broken glass pane,replace a broken glass pane,,,1,gQn5cyszSEU,"1.Scrape off old putty around the rabbet or notch where the glass fits with a putty knife or a 5-in-1 painterês scraping tool, then sand the rabbet lightly with fine-grit sandpaper.<br>2. Brush a thin coat of linseed oil on the sanded wood with a small paintbrush.<br>3. Scoop out glazing putty from the container and work it around in your hands until it is soft and pliable. Putty is usually stiff straight from the can.<br>4. Press the kneaded putty into the rabbet. Use more putty than you need, to the point of overfilling, to ensure even coverage all the way around.<br>5. Put on heavy work gloves and set the glass pane on the putty. Push the edges of the glass into putty in the rabbet with even pressure. Donêt push at the center of the pane, which can break the glass.<br>6. Place a glazing point flat against the glass near a rabbet edge with the tip of the point against the rabbet. The lip of the point should face out.<br>7. Push the lip of the glazing point with the end of a putty knife, forcing the sharp tip of the point into the rabbet. The glazing point should remain flat against the glass. Stop pushing when the tip of the glazing point is fully seated into the wood and the lipped edge butts against the rabbet. Add more glazing points every 4 inches around the pane.<br>8. Scoop out more glazing putty and knead it until it is soft and pliable. Roll the putty between your hands into a long, thick rope.<br>9. Press the rope of putty against the glass and the edge of the rabbet around the perimeter of the pane, using more putty than you need.<br>10. Place the end of the putty knife blade on the edge of the rabbet with the corner of the blade just touching the glass. Hold the putty knife as close to a 45-degree angle between the rabbet and the glass as possible. Pull the knife along the rabbet, trimming away the excess putty from the rabbet and the glass as you pull. Repeat on all four sides of the pane.<br>Pull up the excess putty that you trimmed off the glass and rabbet.<br>12. Trim off excess putty on the opposite side of the glass with the putty knife.<br>Source: Home Guides","putty knife or similar tool, glazing compound"
Window Hinge Replacement,task,Window,,,Hyderabad,110,Carpentry/Window-Hingle.jpg,replacing window hinge,replacing window hinge. Tools and procedure to replace window hinge in best price.,,,1,,"1. Measuring The Original Window Hinge.(Measure the existing window hinge from the top corner to the end of the long bar).<br>2.  Removing The Faulty Window Hinge - To remove the old hinge there will normally be three screws holding the hinge to the sash and three holding the hinge to the outer frame, remove each screw (Please note if the sash is large you will need help to support the sash while you remove the screws).<br>3. Replacing The Window Hinge- The new window hinge should be placed against the top corner of the frame, if the original holes are not visible or do not match the new hinge donêt worry new holes can me made with the original screws.<br>4. Fitting the hinge to the sash  - Fitting the hinge to the sash is the same as the outer frame but you will need to check a few things, first put the top of the hinge near to the top of the sash and attach two screws, then check to see if the window will close correctly and in the right position, you may need to alter the position of the hinge slightly higher or lower to achieve the correct positioning. <br> <br>Source: upvcspares4repairs","Philips screw driver
-Flat head screw driver
-Socket set"
Window Mosquito Net Installation,task,Window,,,Hyderabad,85,Carpentry/Window-Mosquito-net.jpg,Mosquito Netting Install,Mosquito Netting Install,,,1,,,
Window Repair,task,Window,,,Hyderabad,220,Carpentry/house-window.jpg,"Windows are often trouble spots. Along with doors, windows are the major source of heat-loss in most homes. They also may stick shut when they're painted or swell shut from humidity. Inside, shades and venetian blinds may not work right, glass gets broken, and screens get torn.","Windows are often trouble spots. Along with doors, windows are the major source of heat-loss in most homes. They also may stick shut when they're painted or swell shut from humidity. Inside, shades and venetian blinds may not work right, glass gets broken, and screens get torn.",,,1,,,
Curtain Rods Installation,task,Minor Repairs,,,Hyderabad,165,Carpentry/curtain_rods.jpg,"installing a curtain rod is an easy procedure. However, It becomes little tricky to do it on tiles. ",installing a curtain rod,,,1,ZwoZGro3UvA,"Things to Give a Thought before fitting rods:<br>a. where you want the bottom of your curtain of fall.<br>b. how far you want to be able to draw back the curtains.<br> c. whether to install the rod on the casing or the wall outside the casing.<br><br> Steps:<br>1. Determine where the top of the curtain will be from where you want the curtain to end: at the sill, below the sill or on the floor. Bear in mind that some styles of curtains have ruffles or pleats that extend above the top of the rod; subtract this section from the measurement. Mark this point on both sides of casing or wall with a pencil.<br>2. Place the brackets on the wall or casing.<br>      i. If installing on a casing, take care not to install the brackets too near either edge so you don't split the wood.<br>     ii. If hanging tab top curtains, a thin rod is best. A thick rod will draw the curtain up, making it hang too high.<br>    iii. Consider the length of the rod when hanging the brackets. You may want a decorative rod with finials to extend well beyond the brackets. Also, though most curtain rods are adjustable, you don't want the distance between the brackets to be so wide that the rod sags in the middle. In general, you shouldn't increase the length of the unexpanded rod by more than 50 percent.<br>3. Mark where the brackets will go when you're sure of all your measurements.<br>4. Drill pilot holes to help start the screws.<br>5. Screw the brackets to the casing or wall.<br>Source: WikiHow","Drill and Bits,Electronic Stud Finder,Hammer,Level,Painter's Tape,Screwdrivers,Towel Bar,Wall Anchors"
Chair Repair,task,Minor Repairs,,,Hyderabad,165,Carpentry/house-chair.jpg,"Few pieces of furniture get more abuse than a chair. Thatês because chairs have to solve two contradictory problems; they must be light enough to be mobile but strong enough to hold the shifting weight of its occupant. Light joints, big loads and constant movement add up to a lot of wear and tear on chair joints._",Repair a chair,,,1,qgQQ9Skavv8,http://www.familyhandyman.com/woodworking/furniture-repair/fix-a-wobbly-chair-reglue-a-wooden-chair/view-all,
Dressing Table Repair,task,Minor Repairs,,,Hyderabad,220,Carpentry/dressing-table.jpg,"A dressing table provides a touch of elegance and old-fashioned charm to a bedroom, bathroom or dressing area. It has ample tabletop space for makeup and grooming tools, with drawers or shelves for additional storage. The large mirror that traditionally tops a dressing table is a key part of its functionality and decor._Preserving the dressing look and feel would be more essencial part in a bedroom. ",Dressing Table Repair,,,1,,,
TV Trolley Repair,task,Minor Repairs,,,Hyderabad,230,Carpentry/tv-trolley.jpg,Repair TV stand to make sure the TV is stable and TV would not fall off from stand. ,TV Trolley Repair,,,1,,,
Cupboard Repair,task,Minor Repairs,,,Hyderabad,275,Carpentry/Wooden_Almirah.jpg,Cupboard Repair,Cupboard Repair,,,1,,,
Cupboard Hinge Repair,task,Minor Repairs,,,Hyderabad,110,Carpentry/Cupboard-Door-Hinge_large.jpg,"Sometimes, it's the little things that drive us crazy in the kitchen. Cupboard Hinges problem is one of them. Hinges are designed for  cupboard in offices, kitchens and bedrooms. ",replacing cupboard hinge,,,1,iQ7uhNUmH58,,
